image,question,answer
image525,What has stellate fibroblasts and mast cells?,stroma
image525,What have incomplete muscle coat?,some blood vessels
image525,Did some blood vessels have incomplete muscle coat?,yes
image525,"Did a, normal non-activated platelet, having open canalicular system and the cytoplasmic organelles have incomplete muscle coat?",no
image525,Is the circle shown with red line absence of elastic tissue?,no
image525,Are the blood vessels variable-sized?,yes
image525,What are variable-sized?,blood vessels
image525,Does the tumour have stellate fibroblasts and mast cells?,no
image525,Does the stroma have stellate fibroblasts and mast cells?,yes
image525,"Are b, the opened up chambers of the heart variable-sized?",no
image525,What does the stroma have ?,stellate fibroblasts and mast cells
image526,Are defects in any of the six see as prussian blue granules?,no
image526,Are haemosiderin pigment in the cytoplasm of hepatocytes see as prussian blue granules?,yes
image526,What is haemosiderin pigment in the cytoplasm of hepatocytes see as?,prussian blue granules
image526,What are seen as prussian blue granules?,haemosiderin pigment in the cytoplasm of hepatocytes granules
image527,"Where is admixture of mature lymphocytes, plasma cells, neutrophils and eosinophils and classic RS cells?",in the centre of the field
image527,"What is there of mature lymphocytes, plasma cells, neutrophils and eosinophils and classic RS cells in the centre of the field inbox in right figure?",admixture
image527,"Is there admixture of mature lymphocytes, plasma cells, neutrophils and eosinophils and classic RS cells in the centre of the field inbox in right figure?",yes
image527,"Is the margin of the colony admixture of mature lymphocytes, plasma cells, neutrophils and eosinophils and classic RS cells in the centre of the field inbox in right figure?",no
image527,What are there?,bands of collagen forming nodules and characteristic lacunar rs cells (inbox in left figure)
image527,Is line of demarcation between gangrenous segment and the viable bowel bands of collagen forming nodules and characteristic lacunar RS cells?,no
image527,Are there bands of collagen forming nodules and characteristic lacunar RS cells?,yes
image527,What are there of collagen forming nodules and characteristic lacunar RS cells?,bands
image528,Are the upper parts of both lungs riddled with gray-white areas of caseation and multiple areas of softening and cavitation?,yes
image528,What are the upper parts of both lungs riddled with?,the gray-white areas of caseation and multiple areas of softening and cavitation
image528,What are riddled with gray-white areas of caseation and multiple areas of softening and cavitation?,the upper parts of both lungs
image528,Are the segregation of b cells and t cells in different regions of the lymph node riddled with gray-white areas of caseation and multiple areas of softening and cavitation?,no
image529,"What are best identified with a special stain for fungi, Gomory 's methenamine silver GMS?",apergillus flavus
image529,"Are salt bridges best identified with a special stain for fungi, Gomory 's methenamine silver GMS?",no
image530,"Is each fibril seen to form a thick, white, fleshy coat over the parietal and visceral surfaces?",no
image530,"Is the tumour seen to form a thick, white, fleshy coat over the parietal and visceral surfaces?",yes
image530,What is the tumour seen to form?,thick
image530,"What is seen to form a thick, white, fleshy coat over the parietal and visceral surfaces?",tumour
image531,What is there in the figure?,microscopic appearance of interstitial pneumonitis
image531,Is there interstitial inflammation?,yes
image531,Is gamna-gandy body interstitial inflammation?,no
image532,What is seen extending directly into adjacent lung parenchyma and hilar nodes?,tumour
image532,Is the tumour seen extending directly into adjacent lung parenchyma and hilar nodes?,yes
image532,Does the kidney show grey-white fleshy tumour in the bronchus at its bifurcation?,no
image532,Does sectioned surface show grey-white fleshy tumour in the bronchus at its bifurcation?,yes
image532,What shows grey-white fleshy tumour in the bronchus at its bifurcation?,sectioned surface
image532,Sectioned surface shows grey-white fleshy tumour in the bronchus at whose bifurcation ?,its
image532,Is congo red seen extending directly into adjacent lung parenchyma and hilar nodes?,no
image532,What does sectioned surface show?,grey-white fleshy tumour in the bronchus at its bifurcation
image533,"Are others seen in the cytoplasm of the myocardial fibres, especially around the nuclei?",no
image533,"Are the lipofuscin pigment granules seen in the cytoplasm of the myocardial fibres, especially around the nuclei?",yes
image533,"What are seen in the cytoplasm of the myocardial fibres, especially around the nuclei?",lipofuscin pigment granules nuclei
image534,Are trophozoites of entamoeba histolytica dilated?,no
image534,Are the affected tubules dilated?,yes
image534,Are the affected regions lined by regenerating thin and flat epithelium?,yes
image534,What are the affected regions lined by?,regenerating thin and flat epithelium
image534,What are lined by regenerating thin and flat epithelium?,affected regions
image534,What are dilated?,affected tubules
image534,Do the infarcted area contain casts?,no
image534,Do their lumina contain casts?,yes
image534,Is diagrammatic representation of pathologic changes in chronic hepatitis lined by regenerating thin and flat epithelium?,no
image534,What contain casts?,lumina of affected tubules
image534,Whose lumina contain casts?,affected tubules
image534,Is sectioned slice of the liver focal necrosis along the nephron involving proximal convoluted tubule as well as distal convoluted tubule DCT?,no
image534,Is there focal necrosis along the nephron involving proximal convoluted tubule as well as distal convoluted tubule DCT?,yes
image534,What is there along the nephron involving proximal convoluted tubule as well as distal convoluted tubule DCT?, focal necrosis
image534,What do their lumina contain?,casts
image535,"What has caused a marked increase in their radiodensity,  so that they are as radiopaque as the cortical bone?",impaired remodeling of calcified cartilage in the epiphyses (arrows) of the wrist
image535,"Has impaired remodeling of calcified cartilage in the epiphyses of the wrist caused a marked increase in their radiodensity,  so that they are as radiopaque as the cortical bone?",yes
image535,"Have large,  flat cells with small nuclei caused a marked increase in their radiodensity,  so that they are as radiopaque as the cortical bone?",no
image535,"Impaired remodeling of calcified cartilage in the epiphyses of the wrist has caused a marked increase in whose radiodensity , so that they are as radiopaque as the cortical bone ?",their
image536,What are classified as luminal by gene expression profiling?,er-positive carcinomas
image536,"Do the principal cellular alterations that characterize reversible cell injury and necrosis include flat epithelial atypia,  ADH,  and DCIS?",no
image536,"Do morphologically recognized precursor lesions include flat epithelial atypia,  ADH,  and DCIS?",yes
image536,"What include flat epithelial atypia,  ADH,  and DCIS,  all of which share certain genomic events with invasive ER-positive carcinomas,  such gains of chromosome 1,  losses of chromosome 16,  and mutations of PIK3CA the gene encoding PI3K?",morphologically recognized precursor lesions
image536,Does two helical spirochetes lead to ER-positive cancers?,no
image536,Does the most common pathway lead to ER-positive cancers?,yes
image536,What leads to ER-positive cancers?,the most common pathway
image536,Are these cancers classified as luminal by gene expression profiling?,yes
image536,What is the least common but molecularly most distinctive type of breast cancer?,negative for er and her2
image536,What do morphologically recognized precursor lesions include?,flat epithelial atypia
image536,Are skin stem cells classified as luminal by gene expression profiling?,no
image536,Is the least common but molecularly most distinctive type of breast cancer negative for ER and HER2 triple negative ; blue arrow?,yes
image536,"What is a possible precursor lesion,  which shares features with apocrine DCIS?",atypical apocrine adenosis
image536,What is the type of cancer that arises most commonly in individuals with germline BRCA2 mutations?,luminal
image536,Is this the type of cancer that arises most commonly in individuals with germline BRCA2 mutations?,yes
image536,Is show flow cytometry the type of cancer that arises most commonly in individuals with germline BRCA2 mutations?,no
image536,Are histologic features negative for ER and HER2 triple negative ?,no
image536,What are classified as basal-like by gene expression profiling?,the majority of triple-negative cancers
image536,What are the majority of triple-negative cancers classified as?,basal-like
image536,Are the majority of triple-negative cancers classified as basal-like by gene expression profiling?,yes
image536,Is advanced organizing pneumonia classified as basal-like by gene expression profiling?,no
image536,What is negative for ER and HER2 (triple negative)?,the least common but molecularly most distinctive type of breast cancer 
image536,"Is the head atypical apocrine adenosis,  which shares features with apocrine DCIS?",no
image536,"What is atypical apocrine adenosis,  which shares features with apocrine DCIS?",a possible precursor lesion
image537,Is vascular changes and fibrosis of salivary glands produced by radiation therapy of the neck region?,yes
image537,Is bile duct cells and canals of hering produced by radiation therapy of the neck region?,no
image537,What is vascular changes and fibrosis of salivary glands produced by?, radiation therapy of the neck region 
image537,How is vascular changes and fibrosis of salivary glands produced?,by radiation therapy of the neck region
image537,What is produced by radiation therapy of the neck region?,vascular changes and fibrosis of salivary glands
image538,"What shows characteristic, univacuolated and multivacuolated lipoblasts with bizarre nuclei?",tumour
image538,What does the tumour show?,characteristic
image538,"Does the tumour show characteristic, univacuolated and multivacuolated lipoblasts with bizarre nuclei?",yes
image538,What shows close-up view of a typical lipoblast having multivacuolated cytoplasm indenting the atypical nucleus?,inset in the right photomicrograph
image538,What does inset in the right photomicrograph show?,close-up view of a typical lipoblast having multivacuolated cytoplasm indenting the atypical nucleus
image538,Does inset in the right photomicrograph show close-up view of a typical lipoblast having multivacuolated cytoplasm indenting the atypical nucleus?,yes
image538,"Does the particle show characteristic, univacuolated and multivacuolated lipoblasts with bizarre nuclei?",no
image538,Does the tuft show close-up view of a typical lipoblast having multivacuolated cytoplasm indenting the atypical nucleus?,no
image539,Is line of demarcation between gangrenous segment and the viable bowel hyperplasia of fibromuscular elements?,no
image539,What are there?,areas of intra-acinar papillary infoldings lined by two layers of epithelium with basal polarity of nuclei
image539,Are there areas of intra-acinar papillary infoldings lined by two layers of epithelium with basal polarity of nuclei?,yes
image539,How many layers are there?,two
image539,There are areas of intra-acinar papillary infoldings lined by how many layers of epithelium with basal polarity of nuclei?,two
image539,What are lined by two layers of epithelium with basal polarity of nuclei?,areas of intra-acinar papillary infoldings
image539,Is there hyperplasia of fibromuscular elements?,yes
image539,What is there of fibromuscular elements?,hyperplasia of fibromuscular elements
image539,Are iron on absorption from upper small intestine areas of intra-acinar papillary infoldings lined by two layers of epithelium with basal polarity of nuclei?,no
image540,"What are reactive astrocytosis, a few reactive macrophages and neovascularisation in the wall of the cystic lesion?",histologic changes
image540,What are the histologic change?,reactive astrocytosis
image540,"Are the histologic changes reactive astrocytosis, a few reactive macrophages and neovascularisation in the wall of the cystic lesion?",yes
image540,"Are islands of invading malignant squamous cells reactive astrocytosis, a few reactive macrophages and neovascularisation in the wall of the cystic lesion?",no
image541,Is the tumour arising from the retina characterised by hydropic and avascular enlarged villi with trophoblastic proliferation in the form of masses and sheets?,no
image541,Is hydatidiform mole characterised by hydropic and avascular enlarged villi with trophoblastic proliferation in the form of masses and sheets?,yes
image541,What is hydatidiform mole characterised by?,hydropic and avascular enlarged villi
image541,What is characterised by hydropic and avascular enlarged villi with trophoblastic proliferation in the form of masses and sheets?,hydatidiform mole
image542,Does this abnormality show a large endometriotic cyst with degenerated blood (chocolate cyst)?,no
image542,Does sectioning of ovary show a large endometriotic cyst with degenerated blood (chocolate cyst)?,yes
image542,How does sectioning of ovary show a large endometriotic cyst?,with degenerated blood
image542,What does sectioning of ovary show?,large endometriotic cyst with degenerated blood
image542,What shows a large endometriotic cyst with degenerated blood (chocolate cyst)?,sectioning of ovary
image543,"Does stillbirth lie at the edge of a large area of atherosclerosis,  which arrested the propagation of the dissection?",no
image543,"What lies at the edge of a large area of atherosclerosis,  which arrested the propagation of the dissection?",the distal edge of the intramural hematoma
image543,"Does the distal edge of the intramural hematoma lie at the edge of a large area of atherosclerosis,  which arrested the propagation of the dissection?",yes
image544,Does the background show a normoblast?,yes
image544,What does the background show?,a normoblast
image544,What shows a normoblast?,the background
image544,Does thickness and intensity of colour of arrow on left side of figure show a normoblast?,no
image545,What is diagrammatic representation of classification of haemolytic anaemias based on?,principal mechanisms of haemolysis
image545,Is diagrammatic representation of classification of haemolytic anaemias based on principal mechanisms of haemolysis?,yes
image545,Are the congophilic areas based on principal mechanisms of haemolysis?,no
image545,What is based on principal mechanisms of haemolysis?,diagrammatic representation of classification of haemolytic anaemias haemolysis
image546,What do the areas of white chalky deposits represent?,foci of fat necrosis
image546,What represent foci of fat necrosis with calcium soap formation at sites of lipid breakdown in the mesentery?,the areas of white chalky deposits
image546,Do the areas of white chalky deposits represent foci of fat necrosis with calcium soap formation at sites of lipid breakdown in the mesentery?,yes
image546,Do the histone subunits represent foci of fat necrosis with calcium soap formation at sites of lipid breakdown in the mesentery?,no
image546,How do the areas of white chalky deposits represent foci of fat necrosis?,with calcium soap formation (saponification) 
image546,Where do areas of white chalky deposits represent foci of fat necrosis with calcium soap formation?,at sites of lipid breakdown in the mesentery
image547,"Is sci transl red in this section,  stained with Movat stain?",no
image547,Are aortic elastic layers black?,yes
image547,"Is blood red in this section,  stained with Movat stain?",yes
image547,"Where is red blood,  stained with Movat stain?",in this section
image547,"What is red in this section,  stained with Movat stain?",blood
image547,"Are black Aortic elastic layers, and red blood in this section, stained with Movat stain?",yes
image548,Does endothelial injury show whorls of anaplastic squamous cells invading the underlying soft tissues?,no
image548,Is there a concentric circumferential thickening in the middle causing narrowing of the lumen?,yes
image548,Is sectioned surface of the lung a concentric circumferential thickening in the middle causing narrowing of the lumen?,no
image548,Does photomicrograph show whorls of anaplastic squamous cells invading the underlying soft tissues?,yes
image548,What does photomicrograph show?,whorls of anaplastic squamous cells invading the underlying soft tissues
image548,What shows whorls of anaplastic squamous cells invading the underlying soft tissues?,photomicrograph
image548,Is the vesselwall ulcerated?,no
image548,Is the mucosal surface ulcerated?,yes
image548,What is there thickening in the middle causing narrowing of the lumen?,a concentric circumferential
image548,What is ulcerated?,mucosal surface
image549,What stain for myelin?,luxol fast blue-periodic acid-schiff
image549,Does Luxol fast blue-periodic acid-Schiff stain for myelin?,yes
image549,Does the blood-brain barrier stain for myelin?,no
image550,Are the mucosal lined by a single layer of tall columnar mucin-secreting epithelium with basally-placed nuclei and large apical mucinous vacuoles?,no
image550,What are lined by a single layer of tall columnar mucin-secreting epithelium with basally-placed nuclei and large apical mucinous vacuoles?,cyst wall and the septa
image550,What are the cyst wall and the septa lined by?,a single layer of tall columnar mucin-secreting epithelium with basally-placed nuclei and large apical mucinous vacuoles
image550,Are the cyst wall and the septa lined by a single layer of tall columnar mucin-secreting epithelium with basally-placed nuclei and large apical mucinous vacuoles?,yes
image551,What is there of scarred area with ipsilateral ventricular dilatation?,shrinkage
image551,Is there shrinkage of scarred area with ipsilateral ventricular dilatation?,yes
image551,Is the periphery shrinkage of scarred area with ipsilateral ventricular dilatation?,no
image552,"What shows soft to firm, grey-white, nodularity with microcystic areas?",sectioned surface of enlarged prostate
image552,What does sectioned surface of enlarged prostate show?,soft to firm
image552,"Does the characteristic feature show soft to firm, grey-white, nodularity with microcystic areas?",no
image552,"Does sectioned surface of enlarged prostate show soft to firm, grey-white, nodularity with microcystic areas?",yes
image552,"How does sectioned surface of enlarged prostate show soft to firm, grey-white, nodularity?",with microcystic areas
image553,"What demonstrates intimal,  macrophage-derived foam cells ?",fatty streak in an experimental hypercholesterolemic rabbit
image553,"Does the fatty streak in an experimental hypercholesterolemic rabbit demonstrate intimal,  macrophage-derived foam cells ?",yes
image553,"Does the anomalous area demonstrate intimal,  macrophage-derived foam cells ?",no
image554,What shows papillary tumour floating in the lumen?,mucosal surface
image554,What does the mucosal surface show?,papillary tumour floating in the lumen
image554,Does the mucosal surface show papillary tumour floating in the lumen?,yes
image554,Does the pink acellular amyloid material show papillary tumour floating in the lumen?,no
image555,"Are apoptotic cells lined by tall columnar epithelial cells that are actively resorbing the colloid in the centers of the follicles,  resulting in a scalloped appearance of the colloid?",no
image555,"What are lined by tall columnar epithelial cells that are actively resorbing the colloid in the centers of the follicles,  resulting in a scalloped appearance of the colloid?",the follicles
image555,"Are the follicles lined by tall columnar epithelial cells that are actively resorbing the colloid in the centers of the follicles,  resulting in a scalloped appearance of the colloid?",yes
image555,What are the follicles lined by?,tall columnar epithelial cells
image556,What is produced by radiation therapy of the neck region?,bile duct cells and canals of hering
image556,What is vascular changes and fibrosis of salivary glands produced by?,radiation therapy of the neck region
image556,How is vascular changes and fibrosis of salivary glands produced?,by radiation therapy of the neck region
image556,Is vascular changes and fibrosis of salivary glands produced by radiation therapy of the neck region?,yes
image556,Is the alveolar spaces and blood vessels produced by radiation therapy of the neck region?,no
image557,"Does 2,3-bpg and co2 contain casts and the regenerating flat epithelium lines the necrosed tubule?",no
image557,Does the tubular lumina contain casts and the regenerating flat epithelium lines the necrosed tubule?,yes
image557,What contain casts and the regenerating flat epithelium lines the necrosed tubule?,tubular lumina
image557,Is the cytoplasm extensive necrosis of epithelial cells involving predominantly proximal convoluted tubule diffusely?,no
image557,Is there extensive necrosis of epithelial cells involving predominantly proximal convoluted tubule diffusely?,yes
image557,What is there involving predominantly proximal convoluted tubule diffusely?,extensive necrosis of epithelial cells
image557,What is there of epithelial cells involving predominantly proximal convoluted tubule diffusely?,extensive necrosis
image558,Does the cyst wall show hypercellularity and leucocytic infiltration?,no
image558,Does the tuft show hypercellularity and leucocytic infiltration?,yes
image558,What shows hypercellularity and leucocytic infiltration?,tuft
image558,Are 'triple response ' crescents in Bowman 's space forming adhesions between the glomerular tuft and Bowman 's capsule?,no
image558,Are there crescents in Bowman 's space forming adhesions between the glomerular tuft and Bowman 's capsule?,yes
image558,What are there in Bowman 's space forming adhesions between the glomerular tuft and Bowman 's capsule?,crescents in bowman 's space
image558,What are crescents in Bowman 's space forming?,adhesions between the glomerular tuft and bowman 's capsule
image558,What does the tuft show?,hypercellularity and leucocytic infiltration
image559,"Are the lipofuscin pigment granules seen in the cytoplasm of the myocardial fibres, especially around the nuclei?",yes
image559,What are the lipofuscin pigment granules seen in?,cytoplasm myocardial fibres
image559,"What are seen in the cytoplasm of the myocardial fibres, especially around the nuclei?",lipofuscin pigment granules nuclei
image559,"Are equence of events in the pathogenesis of reversible and irreversible cell injury seen in the cytoplasm of the myocardial fibres, especially around the nuclei?",no
image560,Are the nuclei of affected tubules pale?,yes
image560,What are pale?,the nuclei of affected tubules
image560,Are two daughter cells distended with cytoplasmic vacuoles while the interstitial vasculature is compressed?,no
image560,Are the tubular epithelial cells distended with cytoplasmic vacuoles while the interstitial vasculature is compressed?,yes
image560,What are the tubular epithelial cells distended with?,cytoplasmic vacuoles
image560,What are distended with cytoplasmic vacuoles while the interstitial vasculature is compressed?,tubular epithelial cells
image560,Is the interstitial vasculature compressed?,yes
image560,What is compressed?,interstitial vasculature
image561,What does the lesion have?,intact surface epithelium
image561,What has intact surface epithelium?,lesion
image561,Does the lesion have intact surface epithelium?,yes
image561,Does the alveolar septa have intact surface epithelium?,no
image562,How are a few well-developed cell nests with keratinisation?,evident
image562,What are seen?,islands of invading malignant squamous cells
image562,Are islands of invading malignant squamous cells seen?,yes
image562,Are iseases evident?,no
image562,Are equence of events in the pathogenesis of reversible and irreversible cell injury seen?,no
image562,What are evident?,a few well-developed cell nests with keratinisation
image562,Are a few well-developed cell nests with keratinisation evident?,yes
image563,"Are the congophilic areas correlated with normal immunophenotypic differentiation/maturation stages of B and T-cells in the bone marrow, lymphoid tissue, peripheral blood and thymus?",no
image563,"What are correlated with normal immunophenotypic differentiation/maturation stages of B and T-cells in the bone marrow, lymphoid tissue, peripheral blood and thymus?",various immunophenotypes of b and t-cell malignancies
image564,Is the centres of whorls of smooth muscle and connective tissue higher as demonstrated by this cytochemical stain?,no
image564,Is ctive granulation tissue accompanied with late precursors of myeloid series?,no
image564,What is higher as demonstrated by this cytochemical stain?,neutrophil (or leucocyte) alkaline phosphatase (nap or lap) activity
image564,What is accompanied with late precursors of myeloid series?,peripheral blood film showing marked neutrophilic leucocytosis
image565,"Are the focal and segmental glomerulosclerosis (periodic acid-Schiff stain) seen as a collection of scarred,  obliterate capillaries and accumula-tions of matrix material in part of the affected glomerulus?",yes
image566,What is composed of undifferentiated anaplastic cells arranged in nests?,tumour
image566,Is the tumour composed of undifferentiated anaplastic cells arranged in nests?,yes
image566,What is the tumour composed of?,undifferentiated anaplastic cells arranged in nests 
image567,"Do these cells contain coarse, granular, brown-black melanin pigment?",yes
image567,What do these cells contain?,coarse
image567,"What contain coarse, granular, brown-black melanin pigment?",these cells 
image567,"Do defects in any of the six contain coarse, granular, brown-black melanin pigment?",no
image568,Are bile duct cells and canals of hering produced by radiation therapy of the neck region?,no
image568,Are vascular changes and fibrosis of salivary glands produced by radiation therapy of the neck region?,yes
image568,How is vascular changes and fibrosis of salivary glands produced?,by radiation therapy of the neck region
image568,What is vascular changes and fibrosis of salivary glands produced by?,radiation therapy of the neck region
image568,What is produced by radiation therapy of the neck region?,vascular changes and fibrosis of salivary glands
image569,What is with chronic pyelonephritis?,taghorn renal stone
image569,What is enlarged and heavy?,kidney
image569,Is the kidney enlarged and heavy?,yes
image569,Does sectioned surface show dilated pelvicalyceal system with atrophied and thin peripheral cortex?,yes
image569,Does bdominal fat aspirate stained with congo red show dilated pelvicalyceal system with atrophied and thin peripheral cortex?,no
image569,"What contains a single, large, soft yellow white stone taking the contour of the pelvi-calyceal system?",pelvis of the kidney
image569,What does the pelvis of the kidney contain?,a single
image569,"Does the pelvis of the kidney contain a single, large, soft yellow white stone taking the contour of the pelvi-calyceal system arrow?",yes
image569,"Does the bronchial wall contain a single, large, soft yellow white stone taking the contour of the pelvi-calyceal system arrow?",no
image569,Is thalassaemia and hbd enlarged and heavy?,no
image569,What shows dilated pelvicalyceal system with atrophied and thin peripheral cortex?,sectioned surface
image570,Is mammographic detection of calcifications associated with DCIS?,yes
image570,What is mammographic detection of calcifications associated with?,dcis
image570,What is associated with DCIS?,mammographic detection of calcifications
image570,Is a distinct nuclear inclusion and multiple cytoplasmic inclusions associated with DCIS?,no
image571,Does moebic liver abscess show perineural invasion by prostatic adenocarcinoma?,no
image571,Does inset in the photomicrograph show perineural invasion by prostatic adenocarcinoma?,yes
image571,What does inset in the photomicrograph show by prostatic adenocarcinoma?,perineural invasion by prostatic adenocarcinoma
image571,What shows perineural invasion by prostatic adenocarcinoma?,inset in the photomicrograph
image571,"Does 2,3-bpg and co2 show microacini of small malignant cells infiltrating the prostatic stroma?",no
image571,Does the field show microacini of small malignant cells infiltrating the prostatic stroma?,yes
image571,What does the field show?,microacini of small malignant cells infiltrating the prostatic stroma
image571,What shows microacini of small malignant cells infiltrating the prostatic stroma?,the field stroma
image571,How does inset in the photomicrograph show perineural invasion?,by prostatic adenocarcinoma
image572,What is contrasted with that of cryptorchid testis?,microscopic appearance of normal testis
image572,What is microscopic appearance of normal testis contrasted with?,that of cryptorchid testis
image572,How is microscopic appearance of normal testis contrasted?,with that of cryptorchid testis
image572,Is microscopic appearance of normal testis contrasted with that of cryptorchid testis?,yes
image572,Is adp contrasted with that of cryptorchid testis?,no
image573,Does the latter correspond to the less pigmented flat peripheral rim?,yes
image573,Does this lesion correspond to the less pigmented flat peripheral rim?,no
image573,"What corresponds to the raised,  more pigmented central zone seen in the figure inset?",the central dermal component
image573,"Does the former correspond to the raised,  more pigmented central zone seen in the figure inset?",yes
image573,What corresponds to the less pigmented flat peripheral rim?,an asymmetric shoulder of exclusively junctional melanocytes 
image574,Are numbers in the illustrations also seen?,no
image574,Are Tan areas of haemorrhage also seen?,yes
image574,What are also seen?,tan areas of haemorrhage
image574,"Does the congophilic areas show numerous, variable-sized, grape-like translucent vesicles containing clear fluid?",no
image574,"Does the specimen show numerous, variable-sized, grape-like translucent vesicles containing clear fluid?",yes
image574,What does the specimen show?,numerous
image574,"What shows numerous, variable-sized, grape-like translucent vesicles containing clear fluid?",specimen
image575,What do tumor cells have in oligodendroglioma?,round nuclei
image575,"What have round nuclei,  often with a clear cytoplasmic halo in oligodendroglioma?",tumor cells in oligodendroglioma
image575,"Do lymphoid aggregates with germinal centers and abundant subepi-thelial plasma cells within the superficial lamina propria have round nuclei,  often with a clear cytoplasmic halo in oligodendroglioma?",no
image575,"Do tumor cells have round nuclei,  often with a clear cytoplasmic halo in oligodendroglioma?",yes
image575,How do tumor cells have round nuclei?,often with a clear cytoplasmic halo 
image576,"Does dense fibrocollagenic tissue contain endometrial glands, stroma and evidence of preceding old haemorrhage?",yes
image576,What does dense fibrocollagenic tissue contain?,endometrial glands
image576,"What contains endometrial glands, stroma and evidence of preceding old haemorrhage?",dense fibrocollagenic tissue
image576,"Does the cyst wall contain endometrial glands, stroma and evidence of preceding old haemorrhage?",no
image577,Are areas of chalky necrosis covered by silvery-white scale?,no
image577,What is covered by silvery-white scale?,erythematous psoriatic plaques
image577,Are erythematous psoriatic plaques covered by silvery-white scale?,yes
image577,How is erythematous psoriatic plaques covered?,by silvery-white scale
image578,What are seen invading the layers of the stomach wall?,malignant cells forming irregular glands with stratification wall
image578,What are Malignant cells forming irregular glands with?,stratification wall
image578,Are Malignant cells forming irregular glands with stratification seen invading the layers of the stomach wall?,yes
image578,Are lassification of chromosomes seen invading the layers of the stomach wall?,no
image578,Does the mucosal fold?,yes
image578,Does bone biopsy fold?,no
image578,What is markedly thickened?,wall of the stomach in the region of pyloric canal
image578,Is the wall of the stomach in the region of pyloric canal markedly thickened?,yes
image578,Is the background markedly thickened?,no
image578,What is desmoplastic?,stroma
image578,Is the stroma desmoplastic?,yes
image578,Is line of demarcation between gangrenous segment and the viable bowel desmoplastic?,no
image579,Does preserved show dissolution of the tissue?,no
image579,What does an infarct in the brain show of the tissue?,dissolution of the tissue
image579,Does an infarct in the brain show dissolution of the tissue?,yes
image579,What shows dissolution of the tissue?,an infarct in the brain
image580,Is this stained black in the figure?,no
image580,Is elastin stained black in the figure?,yes
image580,Did the majority of tissue macrophages show the regular layered pattern of elastic tissue?,no
image580,What shows the regular layered pattern of elastic tissue?,normal media for comparison
image580,What is stained black in the figure?,elastin
image580,Did the normal media for comparison show the regular layered pattern of elastic tissue?,yes
image580,What did the normal media show of elastic tissue?,regular layered pattern of elastic tissue
image581,Does microscopic examination reflect the progressive loss of cellular differentiation on the surface of the cervical lesions from which these cells are exfoliated?,no
image582,"What contain mature cells from endodermal,  mesodermal,  and ectodermal lines?",testicular teratomas
image582,What do testicular teratomas contain?,mature cells from endodermal
image582,"Do testicular teratomas contain mature cells from endodermal,  mesodermal,  and ectodermal lines?",yes
image582,"Do two small pulmonary arterioles contain mature cells from endodermal,  mesodermal,  and ectodermal lines?",no
image583,What indicates superficial growth?,macular areas
image583,"Does the cut liver section,  in which major blood vessels are visible,  indicate dermal invasion vertical growth?",no
image583,"Do some forms of ftld tend to be larger than nevi,  with irregular contours and variable pigmentation?",no
image583,What do elevated areas indicate?,dermal invasion
image583,What indicates dermal invasion (vertical growth)?,elevated areas
image583,"Do macular areas indicate superficial growth,  while elevated areas indicate dermal invasion vertical growth?",yes
image583,What do macular areas indicate?,superficial growth
image583,"What tend to be larger than nevi,  with irregular contours and variable pigmentation?",lesions
image583,"Do lesions tend to be larger than nevi,  with irregular contours and variable pigmentation?",yes
image583,"Do proliferating stromal cells indicate superficial growth,  while elevated areas indicate dermal invasion vertical growth?",no
image583,Where is the atypical mitotic figure in the field?,in the center
image583,Is an atypical mitotic figure present in the center of the field?,yes
image583,Is enchondroma in the center of the field?,no
image583,"What shows a sentinel lymph node containing a tiny cluster of metastatic melanoma,  detected by staining for the melanocytic marker HMB-45?",the inset
image583,What does the inset show?,a sentinel lymph node
image583,"Does the inset show a sentinel lymph node containing a tiny cluster of metastatic melanoma,  detected by staining for the melanocytic marker HMB-45?",yes
image583,"Does the cyst show a sentinel lymph node containing a tiny cluster of metastatic melanoma,  detected by staining for the melanocytic marker HMB-45?",no
image583,What is present in the center of the field?,an atypical mitotic figure
image583,Do elevated areas indicate dermal invasion vertical growth?,yes
image584,Is ryptococci in CSF as seen in mucicarmine stain?,yes
image585,Are the bronchioles as well as the adjacent alveoli surrounded by Langhans 'giant cells and mantle of lymphocytes?,no
image585,What are these granulomas surrounded by?,langhans 'giant cells and mantle of lymphocytes
image585,What are surrounded by Langhans 'giant cells and mantle of lymphocytes?,granulomas
image585,What contains several epithelioid cell granulomas with central areas of caseation necrosis?,interstitium
image585,Does wide base contain several epithelioid cell granulomas with central areas of caseation necrosis?,no
image585,Does the interstitium contain several epithelioid cell granulomas with central areas of caseation necrosis?,yes
image585,How does the interstitium contain several epithelioid cell granulomas?,with central areas of caseation necrosis
image585,What does the interstitium contain?,several epithelioid cell granulomas with central areas of caseation necrosis
image585,Are these granulomas surrounded by Langhans 'giant cells and mantle of lymphocytes?,yes
image586,What does this abnormality give rise to?,the 22q112 deletion syndrome
image586,What gives rise to the 22q11 .2 deletion syndrome (DiGeorge syndrome)?,this abnormality
image586,Are there two 22q13 signals?,yes
image586,Does sci transl give rise to the 22q11 .2 deletion syndrome DiGeorge syndrome?,no
image586,Does this abnormality give rise to the 22q11 .2 deletion syndrome DiGeorge syndrome?,yes
image586,How many 22q13 signals are there?,two
image586,"How many chromosomes do not stain with the probe for 22q11 .2,  indicating a microdeletion in this region?",one
