image,question,answer
image3117,"Does external surface show increased mesenteric fat, thickened wall and narrow lumen?",yes
image3117,Is aboratory findings of itp shown in longitudinal section along with a segment in cross section?,no
image3117,"Does aboratory findings of itp show increased mesenteric fat, thickened wall and narrow lumen?",no
image3117,"What shows increased mesenteric fat, thickened wall and narrow lumen?",external surface
image3118,"What is there with only collapsed reticulin framework left out in their place, high lighted by reticulin stain right photomicrograph?",wiping out of liver lobules
image3118,"What left out in their place, high lighted by reticulin stain?",collapsed reticulin framework
image3118,"There is wiping out of liver lobules with only collapsed reticulin framework left out in whose place , high lighted by reticulin stain right photomicrograph ?",their
image3118,"Reticulin framework left out in whose place , high lighted by reticulin stain ?",their
image3118,Is the cut surface no significant inflammation or fibrosis?,no
image3118,"What is there left out in their place, high lighted by reticulin stain right photomicrograph?",wiping out of liver lobules with only collapsed reticulin framework
image3118,"Is an asbestos body wiping out of liver lobules with only collapsed reticulin framework left out in their place, high lighted by reticulin stain right photomicrograph?",no
image3118,Where is there?,no significant inflammation or fibrosis
image3118,Is there no significant inflammation or fibrosis?,yes
image3118,"Is there wiping out of liver lobules with only collapsed reticulin framework left out in their place, high lighted by reticulin stain right photomicrograph?",yes
image3119,"Does the injurious stimulus show failure of normal differentiation,  marked nuclear and cellular pleomorphism,  and numerous mitotic figures extending toward the surface?",no
image3119,"Does the high-power view show failure of normal differentiation,  marked nuclear and cellular pleomorphism,  and numerous mitotic figures extending toward the surface?",yes
image3119,What is not seen in this section?,the intact basement membrane
image3119,Is the intact basement membrane not seen in this section?,yes
image3119,Is the wound around one another with regularly spaced binding of the congo red not seen in this section?,no
image3119,What does high-power view of another region show?,failure of normal differentiation
image3119,"What shows failure of normal differentiation,  marked nuclear and cellular pleomorphism,  and numerous mitotic figures extending toward the surface?",high-power view of another region
image3120,What are seen mainly in the glomerular capillary tuft?,the amyloid deposits
image3120,Are the amyloid deposits seen mainly in the glomerular capillary tuft?,yes
image3120,What are also present in peritubular connective tissue producing atrophic tubules?,the deposits
image3120,Are apoptosis seen mainly in the glomerular capillary tuft?,no
image3120,"What casts in the tubular lumina, and in the arterial wall producing luminal narrowing?",amyloid
image3120,"Does amyloid cast in the tubular lumina, and in the arterial wall producing luminal narrowing?",yes
image3120,"Does the nucleus cast in the tubular lumina, and in the arterial wall producing luminal narrowing?",no
image3120,Where are the amyloid deposits seen?,glomerular capillary tuft
image3120,Where are the deposits producing atrophic tubules present?,peritubular connective tissue
image3120,Are the deposits also present in peritubular connective tissue producing atrophic tubules?,yes
image3120,Is p-component also present in peritubular connective tissue producing atrophic tubules?,no
image3121,What is typical?,necrotic debris
image3121,"Is necrotic debris,  present in the gland lumen,  typical?",yes
image3121,Are bile duct cells and canals of hering typical?,no
image3122,"Are bite cells similar to the one in this smear seen at this stage,  associated with regeneration and repair?",no
image3122,"Are numerous reactive type II pneumocytes seen at this stage,  associated with regeneration and repair?",yes
image3122,"What are numerous reactive type II pneumocytes seen at,  associated with regeneration and repair?",this stage
image3122,What is the healing stage marked by?,resorption of hyaline membranes and thickening of alveolar septa by inflammatory cells
image3122,"Is the healing stage marked by resorption of hyaline membranes and thickening of alveolar septa by inflammatory cells,  fibroblasts,  and collagen?",yes
image3122,"Is the right ventricle marked by resorption of hyaline membranes and thickening of alveolar septa by inflammatory cells,  fibroblasts,  and collagen?",no
image3122,"What are seen at this stage,  associated with regeneration and repair?",numerous reactive type ii pneumocytes
image3122,"What is marked by resorption of hyaline membranes and thickening of alveolar septa by inflammatory cells,  fibroblasts,  and collagen?",the healing stage
image3123,Does Movat produce a serrated architecture when glands are cut in cross-section?,no
image3123,Are previous episodes of rheumatic valvulitis cut in cross-section?,no
image3123,What are cut in cross-section?,glands
image3123,Does epithelial crowding produce a serrated architecture when glands are cut in cross-section?,yes
image3123,What does epithelial crowding produce when glands are cut in cross-section?,a serrated architecture
image3123,What produces a serrated architecture when glands are cut in cross-section?,epithelial crowding
image3123,Are glands cut in cross-section?,yes
image3123,How are the glands cut?,in cross-section
image3124,Does the immunoperoxidase stain show C4d deposition in peritubular capillaries and a glomerulus?,yes
image3124,Does the acute t cell-mediated rejection stain show C4d deposition in peritubular capillaries and a glomerulus?,no
image3124,What stain shows C4d deposition in peritubular capillaries and a glomerulus?,immunoperoxidase stain
image3125,What shows several multinucleate giant cells?,the granuloma
image3125,Does the left ventricular wall show several multinucleate giant cells?,no
image3125,Does the granuloma in the center show several multinucleate giant cells?,yes
image3125,What does the granuloma in the center show?,multinucleate giant cells
image3126,What shows stricture and a lymph node in section having caseation necrosiss?,external surface of small intestine
image3126,What does the external surface of small intestine show?,stricture and a lymph node in section having caseation necrosiss
image3126,Does the deposits show characteristic transverse ulcers and two strictures?,no
image3126,What is thickened?,wall of intestine in the area of narrowed lumen
image3126,Does the lumen show characteristic transverse ulcers and two strictures?,yes
image3126,What does the lumen show ?,characteristic transverse ulcers and two strictures
image3126,What shows characteristic transverse ulcers and two strictures?,lumen
image3126,Does the margin show stricture and a lymph node in section having caseation necrosiss?,no
image3126,Does the external surface of small intestine show stricture and a lymph node in section having caseation necrosiss?,yes
image3126,Does a few fibre cells and caudate cells show caseating epithelioid cell granulomas in the intestinal wall?,no
image3126,Does microscopy of intestine show caseating epithelioid cell granulomas in the intestinal wall?,yes
image3126,What shows caseating epithelioid cell granulomas in the intestinal wall?,microscopy of intestine
image3126,Is uppurative diseases thickened?,no
image3126,How many strictures does the lumen show?,two
image3126,What does microscopy of intestine show?,caseating epithelioid cell granulomas in the intestinal wall
image3126,Is the wall of intestine in the area of narrowed lumen thickened?,yes
image3127,"Are the histological features present: transmural chronic inflammatory cell infiltration, deep fissures into the bowel wall, submucosal widening due to oedema, some prominent lymphoid follicles and a few non-caseating epithelioid cell granulomas in the bowel wall?",yes
image3127,What are the histological features present?,transmural chronic inflammatory cell infiltration
image3128,Are acidophilic councilman bodies indicative of more severe liver cell injury?,yes
image3128,What are the predominant histologic changes?,variable degree of necrosis of hepatocytes
image3128,What are indicative of more severe liver cell injury?,acidophilic councilman bodies
image3128,Are the tiny silica particles indicative of more severe liver cell injury?,no
image3128,What is seen as ballooning degeneration while acidophilic councilman bodies are indicative of more severe liver cell injury?,mild degree of liver cell necrosis
image3128,What is mild degree of liver cell necrosis seen as?,ballooning degeneration
image3128,Is mild degree of liver cell necrosis seen as ballooning degeneration while acidophilic councilman bodies are indicative of more severe liver cell injury?,yes
image3128,"Is normal non-activated platelet, having open canalicular system and the cytoplasmic organelles seen as ballooning degeneration while acidophilic councilman bodies are indicative of more severe liver cell injury?",no
image3129,What are super-imposed on advanced atherosclerotic lesions of the more proximal aorta (left side of photograph)?,friable mural thrombi
image3129,Did the areas of white chalky deposits overlie white fibrous scar?,no
image3129,Does thrombus in the left and right ventricular apices overlie white fibrous scar?,yes
image3129,What does thrombus in the left and right ventricular apices overlie?,white fibrous scar
image3129,Are Margin P also super-imposed on advanced atherosclerotic lesions of the more proximal aorta (left side of photograph)?,no
image3129,What overlies white fibrous scar?,thrombus
image3129,Are numerous friable mural thrombi super-imposed on advanced atherosclerotic lesions of the more proximal aorta (left side of photograph)?,yes
image3130,Does this full-thickness histologic section show a segment surrounded by a series of thinly myelinated internodes of uneven length flanked on both ends by normal thicker myelin internodes?,no
image3130,"Does the right axon,  by contrast,  show a segment surrounded by a series of thinly myelinated internodes of uneven length flanked on both ends by normal thicker myelin internodes?",yes
image3130,"What does the right axon,  by contrast,  show?",a segment surrounded by a series of thinly myelinated internodes of uneven length flanked on both ends by normal thicker myelin internodes
image3130,What allow for examination of individual axons of peripheral nerves?,teased fiber preparations
image3130,What do teased fiber preparations allow for?,examination of individual axons of peripheral nerves
image3130,Do fiber preparations allow for examination of individual axons of peripheral nerves?,yes
image3130,Do the histone subunits allow for examination of individual axons of peripheral nerves?,no
image3130,What is flanked by nodes of Ranvier?,a normal axon
image3130,What is a normal axon with a long thick dark myelin internode flanked by?,nodes of ranvier with a long thick dark myelin internode
image3130,How is a normal axon with a long thick dark myelin internode flanked?,by nodes of ranvier
image3130,Is a normal axon with a long thick dark myelin internode flanked by nodes of Ranvier?,yes
image3130,"Is endometrioid type,  grade 3,  flanked by nodes of Ranvier?",no
image3130,What shows a segment surrounded by a series of thinly myelinated internodes of uneven length flanked on both ends by normal thicker myelin internodes?,the right axon
image3131,What is seen in hypertension?,three forms of arteriolosclerosis
image3131,Where is diagrammatic representation of three forms of arteriolosclerosis seen?,in hypertension 
image3131,How many forms of arteriolosclerosis is seen in hypertension?,three
image3131,Is ziehl-neelsen or afb seen in hypertension?,no
image3131,Is diagrammatic representation of three forms of arteriolosclerosis seen in hypertension?,yes
image3132,"Are acute tubular epithelial cell injury with blebbing at the luminal pole,  detachment of tubular cells from their underlying basement membranes,  and granular present within the colon wall?",no
image3132,Are areas of chalky necrosis present within the colon wall?,yes
image3132,Where are areas of chalky necrosis present?,within the colon wall
image3132,What are present within the colon wall?,areas of chalky necrosis
image3133,A distinctive lacunar cell with a multilobed nucleus containing many small nucleoli is seen lying within a clear space created by retraction of whose cytoplasms ?,its
image3133,Is paler trabeculae seen lying within a clear space created by retraction of its cytoplasms?,no
image3133,Is a distinctive lacunar cell with a multilobed nucleus containing many small nucleoli seen lying within a clear space created by retraction of its cytoplasms?,yes
image3133,What does the multilobed nucleus of the distinctive lacunar cell contain?,many small nucleoli
image3133,What is seen lying within a clear space created by retraction of its cytoplasms?,a distinctive lacunar cell with a multilobed nucleus containing many small nucleoli
image3134,Does strands show apple-green birefringence?,no
image3134,Does m phase show congophilia which under polarising microscopy?,no
image3134,Is the surrounding zone extensive in the space of Disse causing compression and pressure atrophy of hepatocytes?,no
image3134,What does  congo red staining show?,congophilia which under polarising microscopy
image3134,Is the deposition extensive in the space of Disse causing compression and pressure atrophy of hepatocytes?,yes
image3134,Where the deposition is extensive causing compression and pressure atrophy of hepatocytes?,in the space of disse
image3134,What shows apple-green birefringence?,the figure
image3134,What is extensive in the space of Disse causing compression and pressure atrophy of hepatocytes?,deposition
image3134,Does  congo red staining show congophilia which under polarising microscopy?,yes
image3134,What shows congophilia which under polarising microscopy?,congo red staining
image3134,Is apple-green birefringence shown in this figure?,yes
image3135,Do apoptosis show apple-green birefringence?,no
image3135,What show birefringence?,the congophilic areas
image3135,Do the congophilic areas show apple-green birefringence?,yes
image3135,What do the congophilic areas show?,apple-green birefringence
image3135,Do the figure show apple-green birefringence?,no
image3135,Do the lipofuscin pigment granules show apple-green birefringence?,no
image3135,What show apple-green birefringence?,congophilic areas
image3135,Did apoptosis stain red-pink Congophilia?,no
image3135,Are the amyloid deposits mainly in the glomerular capillary tuft stain red-pink Congophilia?,yes
image3135,What stained red-pink Congophilia?,the amyloid deposits
image3136,Are the tumor cells positive for the stem cell marker CD34 and the myeloid lineage specific markers CD33 and CD15 subset?,yes
image3136,What are the tumor cells positive for?,the stem cell marker cd34 and myeloid lineage specific markers cd33 and cd15
image3136,What are positive for the stem cell marker CD34 and the myeloid lineage specific markers CD33 and CD15 subset?,the tumor cells
image3136,Is the glomerulus result for the AML shown in the figure?,no
image3136,What results for the AML are shown in the figure?,flow cytometry 
image3136,Are genes that encode several proteins involved in antigen processing positive for the stem cell marker CD34 and the myeloid lineage specific markers CD33 and CD15 subset?,no
image3137,Is the sequence on left increased?,no
image3137,Is weight of the heart increased?,yes
image3137,What is increased?,weight of the heart
image3138,Is the affected area on right clear-cut?,no
image3138,Is line of demarcation between gangrenous segment and the viable bowel not clear-cut?,no
image3138,"Is the affected part soft, swollen and dark?",yes
image3138,"What is soft, swollen and dark?",the affected part dark
image3138,"Is the interface between viable and non-viable area soft, swollen and dark?",no
image3138,What is not clear-cut?,line of demarcation between gangrenous segment and the viable bowel clear-cut
image3139,Did subsynovial tissue contain a dense lymphoid aggregate?,yes
image3139,What did subsynovial tissue contain?,a dense lymphoid aggregate
image3139,Did confluent necrosis contain a dense lymphoid aggregate?,no
image3139,What contains a dense lymphoid aggregate?,subsynovial tissue
image3140,Does pbf show branching papillae having flbrovascular stalk covered by a single layer of cuboidal cells having ground-glass nuclei?,no
image3140,What shows branching papillae having flbrovascular stalk covered by a single layer of cuboidal cells having ground-glass nuclei?,microscopy
image3140,Does microscopy show branching papillae having flbrovascular stalk covered by a single layer of cuboidal cells having ground-glass nuclei?,yes
image3141,Does the subcutaneous tissue show masses or nodules of calcium salt surrounded by foreign body giant cells?,yes
image3141,What shows masses or nodules of calcium salt surrounded by foreign body giant cells?,subcutaneous tissue
image3141,What does the subcutaneous tissue show?,masses or nodules of calcium salt surrounded by foreign body giant cells
image3142,Is Ziehl-Neelsen also partly affected?,no
image3142,What shows coagulative necrosis and submucosal haemorrhages?,mucosa in the infarcted area
image3142,What does the mucosa in the infarcted area show?,coagulative necrosis and submucosal haemorrhages
image3142,Is muscularis also partly affected?,yes
image3142,What is also partly affected?,muscularis
image3142,Does the mucosa in the infarcted area show coagulative necrosis and submucosal haemorrhages?,yes
image3142,Does the apex show coagulative necrosis and submucosal haemorrhages?,no
image3142,What is marked at the line of demarcation between the infarcted and normal bowel?,inflammatory cell infiltration
image3142,Where is inflammatory cell infiltration marked at?,line of demarcation between the infarcted and normal bowel
image3142,Is inflammatory cell infiltration marked at the line of demarcation between the infarcted and normal bowel?,yes
image3142,Is peripheral blood in itp marked at the line of demarcation between the infarcted and normal bowel?,no
image3143,"What is entrapped in a dense,  onion-skin concentric scar?",a bile duct undergoing degeneration
image3143,What is a bile duct undergoing degeneration entrapped in?,a dense
image3143,"Is a nucleolar pattern entrapped in a dense,  onion-skin concentric scar?",no
image3143,"Is a bile duct undergoing degeneration entrapped in a dense,  onion-skin concentric scar?",yes
image3144,Is the pattern of staining of anti-centromere antibodies evident?,no
image3144,Are four-chamber dilation and hypertrophy evident?,yes
image3144,How are four-chamber dilation and hypertrophy?,evident
image3144,What is evident?,four-chamber dilation and hypertrophy 
image3144,How much dilation and hypertrophy are evident?,four
image3145,"Does the wall of the aneurysm removed at autopsy show a unifocal,  massive neoplasm replacing most of the right hepatic lobe in a noncirrhotic liver?",no
image3145,"Does the liver removed at autopsy show a unifocal,  massive neoplasm replacing most of the right hepatic lobe in a noncirrhotic liver?",yes
image3145,What replaced most of the right hepatic lobe in a noncirrhotic liver?,neoplasm
image3145,"What is removed at autopsy showing a unifocal,  massive neoplasm replacing most of the right hepatic lobe in a noncirrhotic liver?",the liver
image3146,Is chematic mechanisms involved in pathogenesis of two main types of diabetes mellitus?,yes
image3146,What is involvedd in pathogenesis of two main types of diabetes mellitus?,chematic mechanisms
image3146,Are numbers in the illustrations involved in pathogenesis of two main types of diabetes mellitus?,no
image3146,What is chematic mechanisms involved in?,pathogenesis of two main types of diabetes mellitus
image3147,Do the nuclei show granular debris?,yes
image3147,Where is the affected area?,on right
image3147,Are the outline of tubules still maintained?,yes
image3147,What shows cells with intensely eosinophilic cytoplasm of tubular cells?,the affected area on right
image3147,What does the affected area on right show?,cells with intensely eosinophilic cytoplasm of tubular cells 
image3147,How does the affected area on right show cells?,with intensely eosinophilic cytoplasm of tubular cells
image3147,Does the affected area on right show cells with intensely eosinophilic cytoplasm of tubular cells?,yes
image3147,What show granular debris?,nuclei
image3147,What do the nuclei show?,granular debris
image3147,Does necrosis show cells with intensely eosinophilic cytoplasm of tubular cells?,no
image3147,What shows non-specific chronic inflammation and proliferating vessels?,the interface between viable non-viable area vessels
image3147,What does the interface between viable and non-viable area show?,non-specific chronic inflammation proliferating vessels
image3147,Does the interface between viable and non-viable area show non-specific chronic inflammation and proliferating vessels?,yes
image3147,Does the affected area on right show non-specific chronic inflammation and proliferating vessels?,no
image3147,Where is the affected area?,on right
image3147,What are still maintained?,the outlines of tubules
image3147,Do the tubular epithelial cells show granular debris?,no
image3148,What show osseous metaplasia in the centre?,whorls composed of smooth muscle cells and fibroblasts
image3148,Do two daughter cells show osseous metaplasia in the centre?,no
image3148,What are the whorls composed of?,smooth muscle cells and fibroblasts
image3148,Do the whorls composed of the smooth muscle cells and fibroblasts show osseous metaplasia in the centre?,yes
image3149,What does the tumour show?,uniform cells having high mitotic rate
image3149,Does the margin of infracted area show uniform cells having high mitotic rate?,no
image3149,Does the tumour show uniform cells having high mitotic rate?,yes
image3149,What shows uniform cells having high mitotic rate?,the tumour
image3150,What is involved in the pathogenesis of cardiac oedema?,mechanisms
image3150,What is mechanisms involved in?,oedema
image3150,"Is c, x-ray crystallography and infra-red spectroscopy involved in the pathogenesis of cardiac oedema?",no
image3150,Is mechanisms involved in the pathogenesis of cardiac oedema?,yes
image3151,What is further composed of double helix of two pleated sheets in the form of twin filaments separated by a clear space?,each fibril
image3151,What is each fibril further composed of?,double helix of two pleated sheets
image3151,Is each fibril further composed of double helix of two pleated sheets in the form of twin filaments separated by a clear space?,yes
image3151,Is foci of metaplastic squamous epithelium further composed of double helix of two pleated sheets in the form of twin filaments separated by a clear space?,no
image3151,Is Each fibril further composed of double helix of two pleated sheets in the form of twin filaments separated by a clear space?,yes
image3151,What has a pentagonal or doughnut profile?,p-component
image3151,What does p-component have?,pentagonal or doughnut profile
image3151,Does p-component have a pentagonal or doughnut profile?,yes
image3151,What is further composed of two pleated sheets in the form of twin filaments separated by a clear space?,each fibril
image3151,"What does c, x-ray crystallography and infra-red spectroscopy show?",fibrils having cross
image3151,"Does c, x-ray crystallography and infra-red spectroscopy show fibrils having cross -- pleated sheet configuration which produces periodicity that gives the characteristic staining properties of amyloid with Congo red and birefringence under polarising mic",yes
image3151,Does these end components of chromosome have a pentagonal or doughnut profile?,no
image3151,Does p-component show fibrils having cross -- pleated sheet configuration which produces periodicity that gives the characteristic staining properties of amyloid with Congo red and birefringence under polarising microscopy?,no
image3152,"What shows well-defined bands of pink,  acellular collagen that have subdivided the tumor cells into nodules?",a low-power view
image3152,"Does a low-power view show well-defined bands of pink,  acellular collagen that have subdivided the tumor cells into nodules?",yes
image3152,"Does some long-lived resident tissue macrophages show well-defined bands of pink,  acellular collagen that have subdivided the tumor cells into nodules?",no
image3153,Are defects in any of the six basophilic granular while the periphery shows healed granulomas?,no
image3153,Are the deposits basophilic granular while the periphery shows healed granulomas?,yes
image3153,What does the periphery show?,healed granulomas
image3153,Does the periphery show healed granulomas?,yes
image3153,Does microscopy show healed granulomas?,no
image3153,What are basophilic granular while the periphery shows healed granulomas?,the deposits
image3153,What shows healed granulomas?,the periphery
image3153,What are the deposits while the periphery shows healed granulomas?,basophilic granular
image3153,What  shows healed granulomas?,the periphery
image3154,Does conventional chondrosarcoma entrap native lamellar bone as a confluent mass of cartilage?,yes
image3154,What entraps native lamellar bone as a confluent mass of cartilage?,conventional chondrosarcoma
image3154,Does the surrounding lung entrap native lamellar bone as a confluent mass of cartilage?,no
image3155,"Are skin stem cells strikingly similar to normal squamous epithelial cells,  with intercellular bridges and nests of keratin?",no
image3155,"Are the tumor cells strikingly similar to normal squamous epithelial cells,  with intercellular bridges and nests of keratin?",yes
image3155,How are the tumor cells strikingly similar to normal squamous epithelial cells?,with intercellular bridges and nests of keratin (arrow)
image3155,How are the tumor cells?,strikingly similar to normal squamous epithelial cells
image3155,"What are strikingly similar to normal squamous epithelial cells,  with intercellular bridges and nests of keratin?",the tumor cells
image3156,Do spurs of epidermal cells migrate along the incised margin on either side as well as around the suture track?,yes
image3156,Does formation of granulation tissue begin from below?,yes
image3156,Does the affected part begin from below?,no
image3156,What at around 7th day results in scar tissue at the sites of incision and suture track?,removal of suture
image3156,Do numbers migrate along the incised margin on either side as well as around the suture track?,no
image3156,Does removal of suture result around 7th day result in scar tissue at the sites of incision and suture track?,yes
image3156,Does c result around 7th day result in scar tissue at the sites of incision and suture track?,no
image3156,What migrate along the incised margin on either side as well as around the suture track?,spurs of epidermal cells
image3156,Are the vesselwall filled with blood clot?,no
image3156,Where is inflammatory response from?,the margins
image3156,Are the incised wound as well as suture track on either side filled with blood clot?,yes
image3156,What are the incised wound as well as suture track on either side filled with?,blood clot
image3156,Is there inflammatory response from the margins?,yes
image3156,When does removal of suture result in?,around 7th day
image3156,Is the alveolar septa inflammatory response from the margins?,no
image3156,What are filled with blood clot?,the open wound
image3157,Are the preserved outlines with loss of nuclei?,yes
image3157,What show preserved outlines with loss of nuclei?,the necrotic cells
image3157,Do skin stem cells show preserved outlines with loss of nuclei?,no
image3157,"Do necrotic cells show preserved outlines with loss of nuclei, and an inflammatory infiltrate is present (difficult to discern at this magnification)?",yes
image3157,Do the necrotic cells show preserved outlines with loss of nuclei?,yes
image3158,"What is characterized by vasodilation, congestion, and edema?",the immediate reaction
image3158,"Is the immediate reaction characterized by an inflammatory infiltrate rich in eosinophils,  neutrophils,  and T cells?",no
image3158,What is the immediate reaction characterized by?,vasodilation
image3159,One cusp has a partial fusion at whose center ?,its
image3160,What appear that all share the same fiber type (fiber type grouping)  with ongoing denervation and reinnervation?,large clusters of fibers
image3160,Do large clusters of fibers appear that all share the same fiber type (fiber type grouping)?,yes
image3160,Do remission of demyelinating disease appear that share the same fiber type (fiber type grouping) ?,no
image3160,What share the same fiber type (fiber type grouping)?,large clusters of fibers
image3160,Do large clusters of fibers appear that all share the same fiber type (fiber type grouping)  with ongoing denervation and reinnervation?,yes
image3160,Do portal tracts and the periportal parenchyma appear that all share the same fiber type (fiber type grouping)  with ongoing denervation and reinnervation?,no
image3160,Under what conditions do clusters of fibers appear that all share the same fiber type?,with ongoing denervation and reinnervation
image3161,Does the inner circle shown with green line show a grey white firm tumour extending irregularly into adjacent breast parenchyma?,no
image3161,What does Cut surface show?,a grey white firm tumour extending irregularly into adjacent breast parenchyma
image3161,What shows a grey white firm tumour extending irregularly into adjacent breast parenchyma?,cut surface
image3161,"Does 2,3-bpg and co2 show a tumour extending up to nipple and areola?",no
image3161,Does the breast show a tumour extending up to nipple and areola?,yes
image3161,What does the breast show?,a tumour extending up to nipple and areola
image3161,What shows a tumour extending up to nipple and areola?,breast
image3161,Does Cut surface show a grey white firm tumour extending irregularly into adjacent breast parenchyma?,yes
image3162,Is Ewing sarcoma composed of sheets of small round cells with small amounts of clear cytoplasm?,yes
image3162,How is Ewing sarcoma composed of sheets of small round cells?,with small amounts of clear cytoplasm
image3162,What is Ewing sarcoma composed of?,sheets of small round cells with small amounts of clear cytoplasm
image3162,What is composed of sheets of small round cells with small amounts of clear cytoplasm?,ewing sarcoma
image3162,Is a liver composed of sheets of small round cells with small amounts of clear cytoplasm?,no
image3163,What is there?,subepithelial and subserosal fibrosis and hypertrophy of muscularis
image3163,Is the lesion penetration of epithelium-lined spaces into the gallbladder wall in an area?,no
image3163,Is there penetration of epithelium-lined spaces into the gallbladder wall in an area?,yes
image3163,Is approximately 50 % of the soft tissue of the bone subepithelial and subserosal fibrosis and hypertrophy of muscularis?,no
image3163,Where is mononuclear inflammatory cell infiltrate present?,in subepithelial and perimuscular layers
image3163,Is mononuclear inflammatory cell infiltrate present in subepithelial and perimuscular layers?,yes
image3163,Is iron on absorption from upper small intestine present in subepithelial and perimuscular layers?,no
image3163,Is there subepithelial and subserosal fibrosis and hypertrophy of muscularis?,yes
image3163,What is present in subepithelial and perimuscular layers?,mononuclear inflammatory cell infiltrate
image3163,What is there of epithelium-lined spaces into the gallbladder wall in an area?,penetration
image3164,"Is the arteriolar wall surrounded by eosinophils,  lymphocytes,  and histiocytes?",no
image3164,"Is a diagnostic,  binucleate Reed-Sternberg cell surrounded by eosinophils,  lymphocytes,  and histiocytes?",yes
image3164,"What is a diagnostic,  binucleate Reed-Sternberg cell surrounded by?",eosinophils
image3164,"What is surrounded by eosinophils,  lymphocytes,  and histiocytes?",a diagnostic
image3165,What shows the morphologic variant of RS cell seen more often in particular histologic type?,the inset on right side of each type
image3165,Does the inset on right side of each type show the morphologic variant of RS cell seen more often in particular histologic type?,yes
image3165,What does the inset on right side of each type show?,the morphologic variant of rs cell seen more often in particular histologic type
image3166,Are a few abortive tubules and poorlyformed glomerular structures present in it?,yes
image3166,Is infarcted area predominance of small round to spindled sarcomatoid tumour cells?,no
image3166,Is there predominance of small round to spindled sarcomatoid tumour cells?,yes
image3166,What is there of small round to spindled sarcomatoid tumour cells?,predominance 
image3166,Is diagrammatic representation of pathologic changes in chronic hepatitis present in it?,no
image3167,Is this condition cystic hygroma?,yes
image3167,"Are the light green polypeptides characteristically seen with,  but not limited to,  constitutional chromosomal anomalies such as 45,  X karyotypes?",no
image3167,"Are cystic hygromas characteristically seen with,  but not limited to,  constitutional chromosomal anomalies such as 45,  X karyotypes?",yes
image3167,"What are cystic hygromas characteristically seen with,  but not limited to?",constitutional chromosomal anomalies such as 45
image3167,Has a nucleolar pattern been termed cystic hygroma?,no
image3167,"What are characteristically seen with,  but not limited to,  constitutional chromosomal anomalies such as 45,  X karyotypes?",cystic hygromas
image3167,What has this condition been termed?,cystic hygroma
image3167,What has been termed cystic hygroma?,fluid accumulation particularly prominent in the soft tissues of the neck
image3168,What does infarcted area show?,ghostal veoli filled with blood
image3168,Does the necrosed area on right side of the field show ghostal veoli filled with blood?,no
image3168,Does infarcted area show ghostal veoli filled with blood?,yes
image3168,What shows ghostal veoli filled with blood?,infarcted area
image3169,Are the areas of white chalky deposits shown?,no
image3169,What are shown?,apoptotic cells in colonic epithelium
image3169,Are apoptotic cells in colonic epithelium shown?,yes
image3170,Is there moderate microcytosis and hypochromia?,yes
image3170,Does the background aspirate show micronormoblastic erythropoiesis?,no
image3170,Does examination of bone marrow aspirate show micronormoblastic erythropoiesis?,yes
image3170,What aspirate shows micronormoblastic erythropoiesis?,examination of bone marrow
image3170,Is infarcted area moderate microcytosis and hypochromia?,no
image3170,What is there?,moderate microcytosis and hypochromia
image3171,Is part of the vessel uninvolved?,yes
image3171,Is mycobacterium avium infection in a duodenal biopsy from a patient with aids uninvolved?,no
image3172,"Did the high-power view of the junction of the fibrous cap and core show scattered inflammatory cells,  calcification arrowheads,  and neovascularization ?",yes
image3172,What did high-power view of the junction of the fibrous cap and core show?,scattered inflammatory cells
image3172,"What shows scattered inflammatory cells,  calcification arrowheads,  and neovascularization ?",high-power view of the junction of the fibrous cap and core
image3172,"Did the cause of reversible injury show scattered inflammatory cells,  calcification arrowheads,  and neovascularization ?",no
image3173,What are illustrated?,the cellular alterations in apoptosis are illustrated
image3173,Are the cellular alterations in apoptosis illustrated?,yes
image3173,Are methylation of particular histone residues illustrated?,no
image3174,"What is consistented with the blastemal component and interspersed primitive tubules,  representing the epithelial component?",wilms tumor with tightly packed blue cells
image3174,What is the Wilms tumor with tightly packed blue cells consistent with?,the blastemal component and interspersed primitive tubules
image3174,"Is wilms tumor with tightly packed blue cells consistented with the blastemal component and intersperse primitive tubules,  representing the epithelial component?",yes
image3174,"Does large,  flat cells with small nuclei intersperse primitive tubules,  represent the epithelial component?",no
image3175,Are the spores present in sporangia as well as are intermingled in the inflammatory cell infiltrate?,yes
image3175,What are the spores present in?,sporangia as well as intermingled in the inflammatory cell infiltrate
image3175,What are present in sporangia as well as are intermingled in the inflammatory cell infiltrate?,spores
image3176,"What shows mesangial cell proliferation,  basement membrane duplication,  leukocyte infiltration,  and accentuation of lobular architecture?",membranoproliferative glomerulonephritis (mpgn)
image3176,"Did predominance of blastemal morphology and diffuse anaplasia show mesangial cell proliferation,  basement membrane duplication,  leukocyte infiltration,  and accentuation of lobular architecture?",no
image3176,"Did membranoproliferative glomerulonephritis (MPGN) show mesangial cell proliferation,  basement membrane duplication,  leukocyte infiltration,  and accentuation of lobular architecture?",yes
image3177,Do nonfunctioning adenomas tend to be larger at the time of diagnosis than those that secrete a hormone?,yes
image3177,What do nonfunctioning adenomas tend to be?,larger at the time of diagnosis than those that secrete hormone
image3177,Do adenocarcinoma of the prostate demonstrating small glands tend to be larger at the time of diagnosis than those that secrete a hormone?,no
image3177,What tend to be larger at the time of diagnosis than those that secrete a hormone?,nonfunctioning adenomas
