image,question,answer
image3163,What is there of epithelium-lined spaces into the gallbladder wall in an area?,penetration
image3164,"Is the arteriolar wall surrounded by eosinophils,  lymphocytes,  and histiocytes?",no
image3164,"Is a diagnostic,  binucleate Reed-Sternberg cell surrounded by eosinophils,  lymphocytes,  and histiocytes?",yes
image3164,"What is a diagnostic,  binucleate Reed-Sternberg cell surrounded by?",eosinophils
image3164,"What is surrounded by eosinophils,  lymphocytes,  and histiocytes?",a diagnostic
image3165,What shows the morphologic variant of RS cell seen more often in particular histologic type?,the inset on right side of each type
image3165,Does the inset on right side of each type show the morphologic variant of RS cell seen more often in particular histologic type?,yes
image3165,What does the inset on right side of each type show?,the morphologic variant of rs cell seen more often in particular histologic type
image3166,Are a few abortive tubules and poorlyformed glomerular structures present in it?,yes
image3166,Is infarcted area predominance of small round to spindled sarcomatoid tumour cells?,no
image3166,Is there predominance of small round to spindled sarcomatoid tumour cells?,yes
image3166,What is there of small round to spindled sarcomatoid tumour cells?,predominance 
image3166,Is diagrammatic representation of pathologic changes in chronic hepatitis present in it?,no
image3167,Is this condition cystic hygroma?,yes
image3167,"Are the light green polypeptides characteristically seen with,  but not limited to,  constitutional chromosomal anomalies such as 45,  X karyotypes?",no
image3167,"Are cystic hygromas characteristically seen with,  but not limited to,  constitutional chromosomal anomalies such as 45,  X karyotypes?",yes
image3167,"What are cystic hygromas characteristically seen with,  but not limited to?",constitutional chromosomal anomalies such as 45
image3167,Has a nucleolar pattern been termed cystic hygroma?,no
image3167,"What are characteristically seen with,  but not limited to,  constitutional chromosomal anomalies such as 45,  X karyotypes?",cystic hygromas
image3167,What has this condition been termed?,cystic hygroma
image3167,What has been termed cystic hygroma?,fluid accumulation particularly prominent in the soft tissues of the neck
image3168,What does infarcted area show?,ghostal veoli filled with blood
image3168,Does the necrosed area on right side of the field show ghostal veoli filled with blood?,no
image3168,Does infarcted area show ghostal veoli filled with blood?,yes
image3168,What shows ghostal veoli filled with blood?,infarcted area
image3169,Are the areas of white chalky deposits shown?,no
image3169,What are shown?,apoptotic cells in colonic epithelium
image3169,Are apoptotic cells in colonic epithelium shown?,yes
image3170,Is there moderate microcytosis and hypochromia?,yes
image3170,Does the background aspirate show micronormoblastic erythropoiesis?,no
image3170,Does examination of bone marrow aspirate show micronormoblastic erythropoiesis?,yes
image3170,What aspirate shows micronormoblastic erythropoiesis?,examination of bone marrow
image3170,Is infarcted area moderate microcytosis and hypochromia?,no
image3170,What is there?,moderate microcytosis and hypochromia
image3171,Is part of the vessel uninvolved?,yes
image3171,Is mycobacterium avium infection in a duodenal biopsy from a patient with aids uninvolved?,no
image3172,"Did the high-power view of the junction of the fibrous cap and core show scattered inflammatory cells,  calcification arrowheads,  and neovascularization ?",yes
image3172,What did high-power view of the junction of the fibrous cap and core show?,scattered inflammatory cells
image3172,"What shows scattered inflammatory cells,  calcification arrowheads,  and neovascularization ?",high-power view of the junction of the fibrous cap and core
image3172,"Did the cause of reversible injury show scattered inflammatory cells,  calcification arrowheads,  and neovascularization ?",no
image3173,What are illustrated?,the cellular alterations in apoptosis are illustrated
image3173,Are the cellular alterations in apoptosis illustrated?,yes
image3173,Are methylation of particular histone residues illustrated?,no
image3174,"What is consistented with the blastemal component and interspersed primitive tubules,  representing the epithelial component?",wilms tumor with tightly packed blue cells
image3174,What is the Wilms tumor with tightly packed blue cells consistent with?,the blastemal component and interspersed primitive tubules
image3174,"Is wilms tumor with tightly packed blue cells consistented with the blastemal component and intersperse primitive tubules,  representing the epithelial component?",yes
image3174,"Does large,  flat cells with small nuclei intersperse primitive tubules,  represent the epithelial component?",no
image3175,Are the spores present in sporangia as well as are intermingled in the inflammatory cell infiltrate?,yes
image3175,What are the spores present in?,sporangia as well as intermingled in the inflammatory cell infiltrate
image3175,What are present in sporangia as well as are intermingled in the inflammatory cell infiltrate?,spores
image3176,"What shows mesangial cell proliferation,  basement membrane duplication,  leukocyte infiltration,  and accentuation of lobular architecture?",membranoproliferative glomerulonephritis (mpgn)
image3176,"Did predominance of blastemal morphology and diffuse anaplasia show mesangial cell proliferation,  basement membrane duplication,  leukocyte infiltration,  and accentuation of lobular architecture?",no
image3176,"Did membranoproliferative glomerulonephritis (MPGN) show mesangial cell proliferation,  basement membrane duplication,  leukocyte infiltration,  and accentuation of lobular architecture?",yes
image3177,Do nonfunctioning adenomas tend to be larger at the time of diagnosis than those that secrete a hormone?,yes
image3177,What do nonfunctioning adenomas tend to be?,larger at the time of diagnosis than those that secrete hormone
image3177,Do adenocarcinoma of the prostate demonstrating small glands tend to be larger at the time of diagnosis than those that secrete a hormone?,no
image3177,What tend to be larger at the time of diagnosis than those that secrete a hormone?,nonfunctioning adenomas
image3178,Does electron microscopy show dark tan firm areas with base on the pleura?,no
image3178,Does the sectioned surface show dark tan firm areas with base on the pleura?,yes
image3178,How does the sectioned surface show dark tan firm areas?,with base on the pleura
image3178,What shows dark tan firm areas with base on the pleura?,the sectioned surface
image3178,What is the color of the firm areas with base on the pleura?,dark tan
image3178,What does the sectioned surface show with?,base on the pleura
image3179,Does onsumption of tobacco in india protrude?,no
image3179,Does the basement membrane material protrude?,yes
image3180,Was a gravid uterus removed for postpartum bleeding?,yes
image3180,Was the injurious stimulus removed for postpartum bleeding?,no
image3180,What was a gravid uterus removed for?,postpartum bleeding
image3180,What was removed for postpartum bleeding?,a gravid uterus
image3181,"Is predominance of blastemal morphology and diffuse anaplasia characterized by increased numbers of epithelial cells,  as in this example of epithelial hyperplasia?",no
image3181,"Is proliferative breast disease characterized by increased numbers of epithelial cells,  as in this example of epithelial hyperplasia?",yes
image3181,What is proliferative breast disease characterized by?,an increased numbers of epithelial cells
image3181,"What is characterized by increased numbers of epithelial cells,  as in this example of epithelial hyperplasia?",proliferative breast disease
image3182,"How is the number there of malignant cells scattered singly or in small clusters having characteristic cytoplasmic vacuoles, nuclear hyperchromasia and prominent nucleoli?",large
image3182,"Are the periphery large number of malignant cells scattered singly or in small clusters having characteristic cytoplasmic vacuoles, nuclear hyperchromasia and prominent nucleoli?",no
image3182,"Are there large number of malignant cells scattered singly or in small clusters having characteristic cytoplasmic vacuoles, nuclear hyperchromasia and prominent nucleoli?",yes
image3183,Are the cytoplasm normocellular?,no
image3183,Are glomeruli normocellular?,yes
image3183,What are normocellular?,glomeruli
image3183,Are layers of squamous epithelium diffusely thickened due to duplication of the GBM?,no
image3183,Are the capillary walls diffusely thickened due to duplication of the GBM?,yes
image3183,What are the capillary walls diffusely thickened due to?,duplication of the gbm
image3183,What are diffusely thickened due to duplication of the GBM?,capillary walls
image3184,"What was present within this Wilms tumor,  characterized by cells with hyperchromatic,  pleomorphic nuclei,  and an abnormal mitosis center of field?",focal anaplasia
image3184,"What was present in other areas within this Wilms tumor,  characterized by cells with hyperchromatic,  pleomorphic nuclei,  and an abnormal mitosis (center of field)?",focal anaplasia
image3184,"Was the extensive subcutaneous fibrosis present in other areas within this Wilms tumor,  characterized by cells with hyperchromatic,  pleomorphic nuclei,  and an abnormal mitosis center of field?",no
image3184,What are associated with specific molecular lesions?,predominance of blastemal morphology and diffuse anaplasia
image3184,What are predominance of blastemal morphology and diffuse anaplasia associated with?,specific molecular lesions
image3184,Are FISH using a fluorescein-labeled cosmid probe for n-myc on a tissue section containing neuroblastoma associated with specific molecular lesions?,no
image3184,Are predominance of blastemal morphology and diffuse anaplasia associated with specific molecular lesions ?,yes
image3184,"Was focal anaplasia present in other areas within this Wilms tumor,  characterized by cells with hyperchromatic,  pleomorphic nuclei,  and an abnormal mitosis center of field?",yes
image3185,What do peripheral blood film show?,marked neutrophilic leucocytosis accompanied with late precursors of myeloid series
image3185,What is accompanied with late precursors of myeloid series?,peripheral blood film showing marked neutrophilic leucocytosis
image3185,Are the mature red cells higher as demonstrated by this cytochemical stain?,no
image3185,What is higher as demonstrated by this cytochemical stain?,neutrophil (or leucocyte) alkaline phosphatase (nap or lap) activity
image3186,What are many thick-walled dilated cavities with?,cartilaginous wall
image3186,Is the section of the mitral valve seen?,no
image3186,Are many thick-walled dilated cavities with cartilaginous wall seen?,yes
image3186,What are seen?,thick-walled dilated cavities with cartilaginous wall
image3187,Are two daughter cells distended with cytoplasmic vacuoles while the interstitial vasculature is compressed?,no
image3187,Are the tubular epithelial cells distended with cytoplasmic vacuoles while the interstitial vasculature is compressed?,yes
image3187,What are the tubular epithelial cells distended with?,cytoplasmic vacuoles
image3187,What is compressed?,interstitial vasculature
image3187,Are the nuclei of affected tubules pale?,yes
image3187,What are pale?,the nuclei of affected tubules
image3187,Is the interstitial vasculature compressed?,yes
image3187,Are equence of events in the pathogenesis of reversible and irreversible cell injury pale?,no
image3187,What are distended with cytoplasmic vacuoles while the interstitial vasculature is compressed?,tubular epithelial cells is compressed
image3188,Is the polyp derived from calcitonin molecules secreted by the neoplastic cells?,no
image3188,"Do these tumors contain amyloid,  visible here as homogeneous extracellular material,  derived from calcitonin molecules secreted by the neoplastic cells?",yes
image3188,What do these tumors contain?,amyloid derived from calcitonin molecules secreted by the neoplastic cells
image3188,What is derived from calcitonin molecules secreted by the neoplastic cells?,amyloid
image3188,"Do acute epididymitis contain amyloid,  visible here as homogeneous extracellular material,  derived from calcitonin molecules secreted by the neoplastic cells?",no
image3188,What contain amyloid derived from calcitonin molecules secreted by the neoplastic cells?,medullary carcinoma tumors
image3188,Is amyloid derived from calcitonin molecules secreted by the neoplastic cells?,yes
image3189,What is there in the number of layers of epithelium?,increase
image3189,Is there increase in the number of layers of epithelium?,yes
image3189,Is the heart increased in the number of layers of epithelium?,no
image3189,What are the cells still recognisable as?,of transitional origin and show features of anaplasia
image3189,Are the cells still recognisable as of transitional origin and show features of anaplasia?,yes
image3189,"Are uclear features of malignant cells in malignant melanoma-pleomorphism, anisonucleosis, still recognisable as of transitional origin and show features of anaplasia?",no
image3189,What are still recognisable as of transitional origin and show features of anaplasia?,cells
image3190,Is the aorta with mild atherosclerosis composed of fibrous plaques?,yes
image3190,What is composed of fibrous plaques?,aorta with mild atherosclerosis
image3190,What is aorta with mild atherosclerosis composed of?,fibrous plaques
image3191,What shows presence of loculi containing gelatinous mucoid material?,the cyst wall
image3191,Does rest of the hepatic parenchyma in the upper part of the picture show presence of loculi containing gelatinous mucoid material?,no
image3191,Does the cyst wall show presence of loculi containing gelatinous mucoid material?,yes
image3191,What does the cyst wall show?,presence of loculi containing gelatinous mucoid material
image3191,What shows a very large multilocular cyst without papillae?,cut surface
image3191,Does the anorectal margin show a very large multilocular cyst without papillae?,no
image3191,Does cut surface show a very large multilocular cyst without papillae?,yes
image3191,What does cut surface show without papillae?,a very large multilocular cyst
image3192,What shows a circumferential bright pink area of necrosis with protein deposition and inflammation?,the wall of the artery
image3192,What does the wall of the artery show with protein deposition and inflammation?,a circumferential bright pink area of necrosis
image3192,How does the wall of the artery show a circumferential bright pink area of necrosis?,with protein deposition and inflammation
image3192,Does the wall of the artery show a circumferential bright pink area of necrosis with protein deposition and inflammation?,yes
image3193,Does the smear show koilocytes having abundant vacuolated cytoplasm and nuclear enlargement ?,yes
image3193,What shows koilocytes having abundant vacuolated cytoplasm and nuclear enlargement ?,the smear
image3193,What does the smear show?,koilocytes having abundant vacuolated cytoplasm and nuclear enlargement  
image3193,Does electron microscopy show koilocytes having abundant vacuolated cytoplasm and nuclear enlargement ?,no
image3194,Is the wall of the aneurysm a densely cellular tumor with necrosis and pseudo-palisading of tumor cell nuclei along the edge of the necrotic zone?,no
image3194,What is a densely cellular tumor with necrosis and pseudo-palisading of tumor cell nuclei along the edge of the necrotic zone?,glioblastoma
image3194,Is glioblastoma a densely cellular tumor with necrosis and pseudo-palisading of tumor cell nuclei along the edge of the necrotic zone?,yes
image3194,What is glioblastoma?,a densely cellular tumor with necrosis and pseudo-palisading of tumor cell nuclei along the edge of the necrotic zone
image3195,Where is acute inflammatory infiltrate at?,the periphery of the infarct
image3195,Is the deposition acute inflammatory infiltrate at the periphery of the infarct?,no
image3195,Is there acute inflammatory infiltrate at the periphery of the infarct?,yes
image3195,What is there at the periphery of the infarct?,acute inflammatory
image3195,Does sequence of events in the pathogenesis of reversible and irreversible cell injury show typical coagulative necrosis ie?,no
image3195,What show typical coagulative necrosis?,renal tubules and glomeruli
image3195,What do renal tubules and glomeruli show?,typical coagulative necrosis
image3195,Do renal tubules and glomeruli show typical coagulative necrosis?,yes
image3196,"What remain within the predominantly metaplastic,  reddish mucosa of the distal esophagus?",a few areas of pale squamous mucosa
image3196,What do only a few areas of pale squamous mucosa remain within?,the predominantly metaplastic
image3196,"Do only a few areas of pale squamous mucosa remain within the predominantly metaplastic,  reddish mucosa of the distal esophagus?",yes
image3196,"Do the areas of white chalky deposits remain within the predominantly metaplastic,  reddish mucosa of the distal esophagus?",no
image3197,What contain abundant pink colloid within their lumina?,the hyperplastic follicles
image3197,Do the hyperplastic follicles contain abundant pink colloid within their lumina?,yes
image3197,What do the hyperplastic follicles contain?,abundant pink colloid within their lumina
image3197,The hyperplastic follicles contain abundant pink colloid within whose lumina ?,their
image3197,Do histologic features of the chancre contain abundant pink colloid within their lumina?,no
image3198,What compress the urethra into a slitlike lumen?,well-defined nodules
image3198,What do well-defined nodules compress?,the urethra into a slitlike lumen
image3198,Do the histone subunits compress the urethra into a slitlike lumen?,no
image3198,Do well-defined nodules compress the urethra into a slitlike lumen?,yes
image3199,Does the wedge-shaped infarct result in spherical contour and small size so as to contain the given volume of haemoglobin in the deformed red cell?,no
image3199,What lose their cell membrane further during passage through the spleen?,these rigid spherical cells
image3199,What do these rigid spherical cells lose?,their cell membrane further during passage through the spleen
image3199,Do these rigid spherical cells lose their cell membrane further during passage through the spleen?,yes
image3199,Do m phase lose their cell membrane further during passage through the spleen?,no
image3199,Does bdominal fat aspirate stained with congo red produce a circulating subpopulation of hyperspheroidal spherocytes while splenic macrophages in large numbers phagocytose defective red cells causing splenomegaly?,no
image3199,Does this produce a circulating subpopulation of hyperspheroidal spherocytes while splenic macrophages in large numbers phagocytose defective red cells causing splenomegaly?,yes
image3199,What does this produce?,a circulating subpopulation of hyperspheroidal spherocytes
image3199,Does this result in spherical contour and small size so as to contain the given volume of haemoglobin in the deformed red cell?,yes
image3199,What produces a circulating subpopulation of hyperspheroidal spherocytes while splenic macrophages in large numbers phagocytose defective red cells causing splenomegaly?,this
image3199,Do left side lose their cell membrane further during passage through the spleen?,no
image3199,What results in spherical contour and small size so as to contain the given volume of haemoglobin in the deformed red cell?,this
image3199,D lose whose cell membrane further during passage through the spleen?,their
image3199,"Do mutations in membrane proteins-alpha-spectrin, beta-spectrin and ankyrin, result in defect in anchoring of lipid bilayer of the membrane to the underlying cytoskeleton?",yes
image3199,What result in defect in anchoring of lipid bilayer of the membrane to the underlying cytoskeleton?,mutations in membrane proteins-alpha-spectrin
image3199,These rigid spherical cells lose whose cell membrane further during passage through the spleen?,their
image3199,When do these rigid spherical cells lose their cell membrane further?,during passage through the spleen
image3199,When do d lose their cell membrane further?,during passage through the spleen
image3199,When do these rigid spherical cells lose their cell membrane further?,during passage through the spleen
image3199,Do these end components of chromosome result in defect in anchoring of lipid bilayer of the membrane to the underlying cytoskeleton?,no
image3200,How is acute epididymitis caused?,by gonococcal infection
image3200,Is acute epididymitis caused by gonococcal infection?,yes
image3200,Is bowing of legs caused by gonococcal infection?,no
image3200,What is involved by an abscess?,the epididymis
image3200,What is caused by gonococcal infection?,acute epididymitis
image3200,Is normal testis seen on the right?,yes
image3200,Where is normal testis seen?,on the right
image3200,What is seen on the right?,normal testis
image3200,Is this in turn involved by an abscess?,no
image3200,Is the epididymis involved by an abscess?,yes
image3200,What is acute epididymitis caused by?,gonococcal infection
image3200,Is the irreversible injury seen on the right?,no
image3201,Is classification of chromosomes base on size and location of centromere?,yes
image3201,What is classification of chromosomes based on?,size and location centromere
image3201,What is based on size and location of centromere?,classification chromosomes 
image3201,Is the serial numbers in the figure base on size and location of centromere?,no
image3202,The hyperplastic follicles contain abundant pink colloid within whose lumina ?,their
image3202,Does the injurious stimulus contain areas of fibrosis and cystic change?,no
image3202,What contains areas of fibrosis and cystic change?,the coarsely nodular gland
image3202,What does the coarsely nodular gland contain?,areas of fibrosis and cystic change
image3202,Does the coarsely nodular gland contain areas of fibrosis and cystic change?,yes
image3203,What is seen abutting the optic nerve?,poorly cohesive tumor in retina
image3203,What is the  poorly cohesive tumor in the retina seen abutting?,the optic nerve
image3203,Is the poorly cohesive tumor in the retina seen abutting the optic nerve?,yes
image3203,"Is the tan-colored,  encapsulated small tumor seen abutting the optic nerve?",no
image3204,What does the histologic appearance demonstrate?,small
image3204,"Does the histologic appearance demonstrate small round,  uniform nuclei and moderate cytoplasm?",yes
image3205,Is the gastric wall markedly thickened?,yes
image3205,What is markedly thickened?,the gastric wall
image3205,"Is a binucleate reed-sternberg cell with large,  inclusion-like nucleoli and abundant cytoplasm fold partially lost?",no
image3205,Are the rugal fold partially lost?,yes
image3205,Is an arteriole markedly thickened?,no
image3206,What is present?,oral
image3206,Does myoma lesion show epulis fissuratum?,no
image3206,Does this image show epulis fissuratum?,yes
image3206,What does this image show?,epulis fissuratum
image3206,Is oral present?,yes
image3206,Where is this?,oral
image3206,Is periprostatic vein thrombi present?,no
image3207,Does this image show pleomorphic adenoma benign mixed tumor?,yes
image3207,Where is this?,oral
image3207,Is oral present?,yes
image3207,What is present?,oral
image3207,Does metastatic malignant melanoma show pleomorphic adenoma benign mixed tumor?,no
image3207,What does this image show?,pleomorphic adenoma benign mixed tumor
image3207,Is postpartum uterus present?,no
image3208,Does ulcerative lesion show sarcoidosis?,no
image3208,Does this image show sarcoidosis?,yes
image3208,What does this image show?,sarcoidosis
image3208,Where is this?,oral
image3208,What is present?,oral
image3208,Is oral present?,yes
image3208,Is metastatic melanoma present?,no
image3209,What does this image show?,chronic sialadenitis
image3209,Does this image show chronic sialadenitis?,yes
image3209,Does sugar coated show chronic sialadenitis?,no
image3209,What is present?,oral
image3209,Is oral present?,yes
image3209,Is 7182 and 7183 present?,no
image3209,Where is this?,oral
image3210,Is oral present?,yes
image3210,Is excellent example present?,no
image3210,Where is this?,oral
image3210,What does this image show?,compound nevus
image3210,Does this image show compound nevus?,yes
image3210,Does bilateral cleft palate show compound nevus?,no
image3210,What is present?,oral
image3211,Is oral present?,yes
image3211,Does this image show incisive canal cyst nasopalatien duct cyst?,yes
image3211,What does this image show?,incisive canal cyst nasopalatien duct cyst
image3211,Is nuclear change present?,no
image3211,What is present?,oral
image3211,Does pulmonary osteoarthropathy show incisive canal cyst nasopalatien duct cyst?,no
image3211,Where is this?,oral
image3212,What is present?,oral
image3212,Does opened base of skull with brain show pemphigus vulgaris?,no
image3212,Does this image show pemphigus vulgaris?,yes
image3212,What does this image show?,pemphigus vulgaris
image3212,Where is this?,oral
image3212,Is umbilical cord present?,no
image3212,Is oral present?,yes
image3213,Where is this?,oral
image3213,What does this image show?,intramucosal nevus
image3213,Does this image show intramucosal nevus?,yes
image3213,Does opened larynx show intramucosal nevus?,no
image3213,What is present?,oral
image3213,Is oral present?,yes
image3213,Is matting history of this case present?,no
image3214,Does this image show leukemic infiltrate?,yes
image3214,Is side present?,no
image3214,Is oral present?,yes
image3214,What is present?,oral
image3214,Does infiltrative process show leukemic infiltrate?,no
image3214,What does this image show?,leukemic infiltrate
image3214,Where is this?,oral
image3215,Is oral present?,yes
image3215,Where is this?,oral
image3215,What does this image show?,papilloma
image3215,Does this image show papilloma?,yes
image3215,Does chronic ischemia show papilloma?,no
image3215,What is present?,oral
image3215,Is polyarteritis nodosa present?,no
image3216,Where is this?,oral
image3216,Is feet present?,no
image3216,What is present?,oral
image3216,Does intraductal papillomatosis with apocrine metaplasia show capillary hemangioma?,no
image3216,Does this image show capillary hemangioma?,yes
image3216,What does this image show?,capillary hemangioma
image3216,Is oral present?,yes
image3217,Does this image show burkits lymphoma?,yes
image3217,What is present?,oral
image3217,Where is this?,oral
image3217,Is whipples disease present?,no
image3217,Is oral present?,yes
image3217,Does intraductal papillomatosis show burkits lymphoma?,no
image3217,What does this image show?,burkits lymphoma
image3218,Where is this?,oral
image3218,What does this image show?,hematopoietic bone marrow defect
image3218,Does this image show hematopoietic bone marrow defect?,yes
image3218,Does hypertension show hematopoietic bone marrow defect?,no
image3218,What is present?,oral
image3218,Is oral present?,yes
image3218,Is subependymal giant cell astrocytoma present?,no
image3219,Is this close-up of cut surface infiltrates present?,no
image3219,Is oral present?,yes
image3219,What is present?,oral
image3219,Does splenomegaly with cirrhosis show periapical granuloma?,no
image3219,Does this image show periapical granuloma?,yes
image3219,What does this image show?,periapical granuloma
image3219,Where is this?,oral
image3220,Is metastatic carcinoma prostate present?,no
image3220,Is oral present?,yes
image3220,Does mixed mesodermal tumor show developing 3rd molar?,no
image3220,What is present?,oral
image3220,Does this image show developing 3rd molar?,yes
image3220,What does this image show?,developing 3rd molar
image3220,Where is this?,oral
image3221,Where is this?,oral
image3221,What does this image show?,chronic osteomyelitis
image3221,Does this image show chronic osteomyelitis?,yes
image3221,Does cut edge of mesentery show chronic osteomyelitis?,no
image3221,What is present?,oral
image3221,Is oral present?,yes
image3221,Is chest and abdomen slide present?,no
image3222,"Does intraductal papillomatosis show skeletal muscle, atrophy due to immobilization cast?",no
image3222,What is present?,musculoskeletal
image3222,Is vasculitis foreign body present?,no
image3222,Is musculoskeletal present?,yes
image3222,"Why does this image show skeletal muscle, atrophy?",due to immobilization cast
image3222,What does this image show?,skeletal muscle
image3222,"Does this image show skeletal muscle, atrophy due to immobilization cast?",yes
image3223,"Does opened muscle show synovium, pannus and fibrinoid necrosis, rheumatoid arthritis?",no
image3223,What does this image show?,synovium
image3223,Is musculoskeletal present?,yes
image3223,Is mucoepidermoid carcinoma present?,no
image3223,What is present?,musculoskeletal
image3223,"Does this image show synovium, pannus and fibrinoid necrosis, rheumatoid arthritis?",yes
image3224,Is musculoskeletal present?,yes
image3224,Is infarction secondary to shock present?,no
image3224,What is present?,musculoskeletal
image3224,"Does child show bone, vertebral body opsteopenia, osteoporosis?",no
image3224,"Does this image show bone, vertebral body opsteopenia, osteoporosis?",yes
image3224,What does this image show?,bone
image3225,"Does normal show synovial proliferation, villous, rheumatoid arthritis?",no
image3225,Is external view of spleen with multiple recent infarcts present?,no
image3225,Is joints present?,yes
image3225,What is present?,joints
image3225,"Does this image show synovial proliferation, villous, rheumatoid arthritis?",yes
image3225,What does this image show?,synovial proliferation
image3226,"Does nuclear change show tracheotomy site, granulation tissue?",no
image3226,What is present?,muscle
image3226,Is muscle present?,yes
image3226,Is this image shows of smooth muscle cell with lipid in sarcoplasm and lipid present?,no
image3226,What is present?,soft tissue
image3226,What does this image show?,tracheotomy site
image3226,Is soft tissue present?,yes
image3226,Is rheumatoid arthritis present?,no
image3226,"Does this image show tracheotomy site, granulation tissue?",yes
image3227,Is joints present?,yes
image3227,What does this image show?,gout
image3227,Does this image show gout?,yes
image3227,Does polycystic disease show gout?,no
image3227,What is present?,joints
image3227,Is mitotic figures present?,no
image3228,"Does this image show rheumatoid arthritis, synovial hypertrophy with formation of villi pannus?",yes
image3228,Is joints present?,yes
image3228,What is present?,joints
image3228,"Does krukenberg tumor show rheumatoid arthritis, synovial hypertrophy with formation of villi pannus?",no
image3228,What does this image show?,rheumatoid arthritis
image3228,Is a barely seen vascular mass extruding from occipital region of skull arms and legs present?,no
image3229,What does this image show?,distal femur lesion
image3229,Is joints present?,yes
image3229,What is present?,joints
image3229,Does this image show distal femur lesion?,yes
image3230,What does this image show?,bone
image3230,"Does this image show bone, hyperparathyroidism,?",yes
image3230,What is present?,joints
image3230,Is joints present?,yes
image3231,Is joints present?,yes
image3231,Is view looking down on heads present?,no
image3231,What is slide?,tumor well shown gross
image3231,What is present?,joints
image3231,Does sickle cell disease show tumor well shown gross is slide?,no
image3231,Does this image show tumor well shown gross is slide?,yes
image3231,What does this image show?,tumor well shown gross is slide
image3231,Is malignant adenoma slide?,no
image3231,Is tumor well shown gross slide?,yes
image3231,What is tumor well shown gross?,slide
image3232,What does this image show?,med good carcinoma with some bone resorption
image3232,What is present?,joints
image3232,How does this image show med good carcinoma?,with some bone resorption 
image3233,Is hearts present?,no
image3233,Does this image show typical lesion?,yes
image3233,What does this image show?,typical lesion
image3233,What is present?,joints
image3233,Does histoplasmosis show typical lesion?,no
image3233,Is joints present?,yes
image3234,What does this image show?,chronic inflammatory cells and langhans type giant cells case 31
image3234,What is present?,joints
image3235,What is present?,soft tissue
image3235,What is present?,muscle
image3235,Is muscle present?,yes
image3235,What does this image show?,typical acute lesion very good
image3235,Is soft tissue present?,yes
image3235,Does this image show typical acute lesion very good?,yes
image3236,Does this image show typical lesion case associated with widespread vasculitis?,yes
image3236,Is joints present?,yes
image3236,Does gangrene toe in infant show typical lesion case associated with widespread vasculitis?,no
image3236,What does this image show?,typical lesion case associated with widespread vasculitis
image3236,Is peritoneal surface of uterus and douglas pouch outstanding photo primary present?,no
image3236,How is typical lesion case associated with  vasculitis ?,widespread
image3236,What is present?,joints
image3237,What does this image show?,new bone formation excellent depiction large myofibroblastic osteoblastic cells induced by tumor tumor also seen gross is additional 3194 and
image3237,What is present?,joints
image3237,Is joints present?,yes
image3237,What is additional 3194 and?,new bone formation excellent depiction large myofibroblastic osteoblastic cells induced by tumor tumor also seen gross
image3238,What is present?,soft tissue
image3238,Does papillary adenoma show skeletal muscle atrophy?,no
image3238,Is soft tissue present?,yes
image3238,What does this image show?,skeletal muscle atrophy
image3238,Is normal newborn present?,no
image3238,Does this image show skeletal muscle atrophy?,yes
image3239,Is soft tissue present?,yes
image3239,Is carcinomatosis present?,no
image3239,Is muscle present?,yes
image3239,What is present?,muscle
image3239,"Does seminoma show tracheotomy site, granulation tissue?",no
image3239,"Does this image show tracheotomy site, granulation tissue?",yes
image3239,What does this image show?,tracheotomy site
image3239,Is jejunum present?,no
image3239,What is present?,soft tissue
image3240,What does this image show?,tracheotomy site
image3240,"Does this image show tracheotomy site, granulation tissue?",yes
image3240,"Does granulomata slide show tracheotomy site, granulation tissue?",no
image3240,What is present?,muscle
image3240,Is muscle present?,yes
image3240,Is all the fat necrosis present?,no
image3240,What is present?,soft tissue
image3240,Is soft tissue present?,yes
image3240,Is face present?,no
image3241,What does this image show?,gout
image3241,Does this image show gout?,yes
image3241,Does vasculitis foreign body show gout?,no
image3241,Is joints present?,yes
image3241,Is cushings disease present?,no
image3241,What is present?,joints
image3242,Is varices present?,no
image3242,Is joints present?,yes
image3242,What is present?,joints
image3242,Does inflamed exocervix show gout?,no
image3242,Does this image show gout?,yes
image3242,What does this image show?,gout
image3243,Is joints present?,yes
image3243,What is present?,joints
image3243,Is external view several capsule lacerations present?,no
image3243,Does acute lymphocytic leukemia show gout?,no
image3243,What does this image show?,gout
image3243,Does this image show gout?,yes
image3244,Is this present?,no
image3244,"Why does this image show skeletal muscle, atrophy?",due to immobilization cast
image3244,What does this image show?,skeletal muscle
image3244,"Does this image show skeletal muscle, atrophy due to immobilization cast?",yes
image3244,"Does this protocol show skeletal muscle, atrophy due to immobilization cast?",no
image3244,What is present?,musculoskeletal
image3244,Is musculoskeletal present?,yes
image3245,Where is this?,lung
image3245,Is case of dic not bad photo present?,no
image3245,Is respiratory present?,yes
image3245,What is present?,respiratory
image3245,What does this image show?,lung
image3245,"Does this image show lung, mycobacterium tuberculosis, acid fast?",yes
image3245,"Does hemochromatosis show lung, mycobacterium tuberculosis, acid fast?",no
image3246,What does this image show?,lung
image3246,Is respiratory present?,yes
image3246,"Does this image show lung, mycobacterium tuberculosis, granulomas and giant cells?",yes
image3246,"Does ap view show lung, mycobacterium tuberculosis, granulomas and giant cells?",no
image3246,What is present?,respiratory
image3246,Is maxillary sinus present?,no
image3246,Where is this?,lung
image3247,Where is this?,lung
image3247,Is sickle cell disease present?,no
